10:54:25:500|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=4,6=1}
10:55:25:537|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
10:56:25:568|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
10:57:25:597|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
10:58:25:627|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
10:59:25:662|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:00:25:692|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
11:01:25:726|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:02:25:757|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:03:25:786|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1}
11:05:15:685|0051-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,2=2,5=1}
11:06:15:713|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:07:15:742|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=1,5=1}
11:08:15:769|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2}
11:09:15:797|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
11:10:15:826|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1}
11:11:15:857|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
11:12:48:556|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=4,3=1}
11:14:14:220|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=4,4=1}
11:15:14:250|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2}
11:16:14:282|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:17:42:657|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=4,4=1}
11:18:42:686|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2}
11:20:18:665|0051-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,3=2,6=1}
11:21:18:694|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:22:18:722|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:23:18:749|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2}
11:24:53:613|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=4,3=1}
11:25:53:644|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:26:53:681|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:27:53:714|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:28:53:748|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:29:53:777|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2}
11:31:20:858|0051-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=3,5=1,8=1}
11:32:20:889|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {5=2}
11:33:20:917|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:34:20:947|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
11:35:20:981|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:36:21:008|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
11:37:21:041|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:38:21:073|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:39:21:107|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:40:21:138|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:41:21:166|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=3,4=2,}
11:42:21:194|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:43:21:229|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:44:21:259|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
11:45:21:287|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
11:46:21:319|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:47:21:347|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:48:21:380|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=1,3=1,}
11:49:21:415|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:50:21:449|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
11:51:21:479|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=5,}
11:52:21:509|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
11:53:21:535|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
11:54:21:566|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
11:55:21:595|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:56:21:625|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
11:57:21:655|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
11:58:21:683|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
11:59:21:712|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:00:21:739|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:01:21:767|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=5,}
12:02:21:797|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
12:03:21:826|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:04:21:859|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:05:20:889|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:06:20:919|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:07:20:944|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:08:20:975|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
