17:12:01:884|0049-TickData: RTTDelay,M2_LISTENER,M2_SUBCRIBER {6=1}
17:12:46:909|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,3=1}
17:13:46:943|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1}
17:14:46:967|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:15:46:998|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:16:47:031|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:17:47:060|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:18:47:088|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,8=1}
17:19:47:117|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:20:47:146|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
17:21:47:178|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:22:47:211|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,}
17:23:47:242|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:24:46:271|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
17:25:46:307|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:26:46:340|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:27:46:371|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1}
17:28:46:399|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:29:46:431|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:30:46:461|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:31:46:489|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:32:46:517|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,}
17:33:46:546|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:34:46:576|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:35:46:605|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:36:46:639|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
17:37:46:668|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:38:46:697|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:39:46:725|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:40:46:755|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:41:46:786|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:42:46:813|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,}
17:43:46:841|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:44:46:875|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:45:46:903|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:46:46:932|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:47:46:960|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:48:46:994|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:49:47:023|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1}
17:50:47:051|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:51:47:086|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
17:52:47:114|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,}
17:53:47:143|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:54:47:170|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
17:55:47:198|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:56:47:228|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:57:47:259|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2}
17:58:46:288|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
17:59:46:317|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
18:00:46:354|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
18:02:58:502|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {3=1}
18:02:58:502|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
