10:56:19:565|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {2=1}
10:56:37:977|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
10:57:03:863|0052-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=1,5=4,9=1}
10:58:02:899|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=1,5=1}
10:59:02:937|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:00:02:965|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=2,}
11:02:32:107|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,3=1}
11:03:32:142|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=2}
11:13:20:469|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {1=1}
11:13:20:469|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
11:14:06:493|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,4=1}
11:15:06:523|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1}
11:16:06:555|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:16:48:578|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {1=1}
11:16:48:578|0062-TickData: RTTDelay,M2_LISTENER|M2_SUBCRIBER,M2_SUBCRIBER {1=1}
11:16:48:578|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
11:17:06:587|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=4,}
11:18:06:611|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1}
11:20:29:919|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {4=1}
11:20:29:920|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
11:21:35:541|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,3=1}
11:22:34:573|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=2}
11:28:53:540|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {3=1}
11:28:57:804|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
11:30:50:779|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {1=1}
11:30:50:779|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
11:31:30:796|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,4=1}
11:32:30:826|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2}
11:33:30:857|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1}
11:34:30:895|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2}
11:35:30:926|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=2}
11:36:30:955|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
11:37:30:983|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
11:38:31:011|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=1,9=1}
11:39:31:044|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=2}
11:40:31:074|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=2,}
11:41:31:105|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=5,}
11:42:31:133|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:43:31:167|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:44:31:198|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:45:31:226|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:46:31:257|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:47:31:287|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
11:48:31:315|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:49:31:347|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:50:31:378|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
11:51:31:409|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=5,}
11:52:31:440|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
11:53:31:469|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:54:31:500|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:55:31:533|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1}
11:56:31:566|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {2=2,}
11:57:31:599|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:58:31:631|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
11:59:31:660|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=2,}
12:00:31:687|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
12:01:31:715|0044-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=5}
12:02:31:742|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {1=1,2=1,}
12:03:31:775|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1}
12:04:31:806|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
12:05:30:833|0048-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1}
12:06:30:860|0049-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=1,}
12:07:30:887|0045-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=2,}
12:08:49:260|0052-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {3=1,4=4,7=1}
12:16:17:523|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {1=1}
12:16:17:523|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
13:25:39:540|0052-TickData: RTTDelay,DS_BOX,M2_SUBCRIBER {4=4,5=1,6=1}
13:26:37:835|0046-TickData: Delay,M2_LISTENER,M2_SUBCRIBER {1=1}
13:26:37:835|0054-TickData: DelayAdjusted,M2_LISTENER,M2_SUBCRIBER {0=1}
